0,1,2,3
75.0,74.0,10.0,-0.0
79.0,71.0,9.0,1.0
118.0,77.0,14.0,1.0
98.0,84.0,14.0,1.0
117.0,83.0,13.0,1.0
128.0,105.0,15.0,2.0
128.0,98.0,12.0,1.0
132.0,99.0,14.0,1.0
126.0,98.0,16.0,1.0
131.0,89.0,13.0,2.0
111.0,93.0,16.0,1.0
104.0,92.0,12.0,1.0
104.0,100.0,14.0,1.0
106.0,93.0,14.0,1.0
88.0,95.0,11.0,2.0
88.0,71.0,9.0,1.0
96.0,83.0,9.0,2.0
86.0,75.0,10.0,1.0
70.0,53.0,5.0,1.0
57.0,31.0,8.0,1.0
42.0,22.0,6.0,1.0
50.0,37.0,5.0,1.0
52.0,47.0,5.0,0.0
39.0,47.0,6.0,-0.0
91.0,76.0,11.0,-0.0
98.0,115.0,12.0,1.0
109.0,81.0,13.0,1.0
128.0,95.0,14.0,1.0
113.0,90.0,16.0,1.0
137.0,92.0,15.0,2.0
137.0,110.0,15.0,1.0
135.0,89.0,14.0,1.0
122.0,92.0,13.0,2.0
112.0,87.0,15.0,2.0
108.0,103.0,12.0,1.0
105.0,97.0,15.0,1.0
105.0,82.0,13.0,1.0
88.0,93.0,11.0,1.0
85.0,78.0,10.0,0.0
98.0,67.0,7.0,1.0
85.0,84.0,9.0,1.0
67.0,60.0,6.0,0.0
63.0,14.0,8.0,2.0
52.0,37.0,7.0,1.0
48.0,20.0,5.0,1.0
54.0,42.0,7.0,1.0
47.0,72.0,5.0,-0.0
42.0,49.0,6.0,-0.0
104.0,100.0,13.0,1.0
111.0,108.0,10.0,2.0
131.0,74.0,14.0,1.0
129.0,84.0,15.0,1.0
117.0,86.0,9.0,2.0
129.0,110.0,19.0,2.0
136.0,99.0,16.0,3.0
127.0,78.0,11.0,2.0
100.0,82.0,15.0,1.0
104.0,94.0,12.0,1.0
104.0,101.0,15.0,1.0
103.0,81.0,13.0,1.0
84.0,102.0,11.0,1.0
79.0,81.0,10.0,0.0
84.0,70.0,8.0,1.0
84.0,63.0,9.0,1.0
78.0,55.0,6.0,1.0
66.0,27.0,7.0,1.0
39.0,26.0,10.0,1.0
42.0,31.0,6.0,0.0
46.0,18.0,8.0,2.0
29.0,64.0,7.0,1.0
59.0,74.0,7.0,-1.0
48.0,54.0,5.0,-0.0
88.0,91.0,12.0,0.0
123.0,128.0,13.0,1.0
120.0,74.0,14.0,1.0
132.0,88.0,5.0,1.0
124.0,96.0,17.0,2.0
141.0,103.0,20.0,1.0
139.0,92.0,14.0,3.0
110.0,66.0,13.0,2.0
94.0,92.0,12.0,1.0
105.0,89.0,14.0,1.0
107.0,95.0,14.0,1.0
87.0,96.0,11.0,1.0
81.0,80.0,9.0,0.0
85.0,65.0,9.0,1.0
76.0,73.0,11.0,1.0
84.0,36.0,7.0,0.0
74.0,30.0,8.0,1.0
44.0,49.0,9.0,1.0
41.0,21.0,5.0,1.0
43.0,39.0,8.0,2.0
32.0,30.0,6.0,1.0
36.0,72.0,5.0,-0.0
61.0,74.0,10.0,-1.0
41.0,60.0,6.0,-0.0
99.0,108.0,15.0,0.0
115.0,143.0,12.0,2.0
137.0,85.0,10.0,1.0
144.0,98.0,14.0,3.0
117.0,107.0,16.0,2.0
152.0,111.0,18.0,2.0
115.0,72.0,15.0,3.0
106.0,79.0,11.0,1.0
93.0,93.0,15.0,1.0
103.0,83.0,14.0,1.0
88.0,98.0,11.0,1.0
80.0,74.0,9.0,0.0
84.0,70.0,9.0,1.0
75.0,66.0,10.0,1.0
74.0,40.0,8.0,1.0
76.0,10.0,10.0,1.0
54.0,35.0,9.0,0.0
42.0,54.0,7.0,0.0
33.0,27.0,8.0,2.0
42.0,45.0,6.0,2.0
42.0,31.0,3.0,1.0
37.0,77.0,4.0,0.0
63.0,82.0,9.0,-1.0
48.0,61.0,7.0,1.0
84.0,113.0,15.0,-0.0
120.0,149.0,11.0,1.0
137.0,65.0,15.0,0.0
137.0,107.0,12.0,2.0
120.0,114.0,13.0,1.0
146.0,78.0,18.0,2.0
127.0,97.0,14.0,2.0
96.0,84.0,14.0,2.0
91.0,76.0,14.0,1.0
87.0,89.0,11.0,2.0
75.0,76.0,10.0,0.0
82.0,66.0,8.0,1.0
74.0,71.0,10.0,1.0
77.0,44.0,7.0,0.0
72.0,23.0,11.0,1.0
61.0,30.0,11.0,0.0
55.0,43.0,7.0,0.0
39.0,61.0,9.0,0.0
35.0,35.0,8.0,1.0
54.0,51.0,6.0,1.0
56.0,30.0,3.0,1.0
49.0,84.0,4.0,0.0
62.0,82.0,10.0,-1.0
52.0,55.0,6.0,1.0
95.0,102.0,13.0,-0.0
119.0,155.0,17.0,2.0
130.0,81.0,13.0,1.0
160.0,94.0,14.0,2.0
98.0,76.0,15.0,1.0
120.0,101.0,17.0,1.0
127.0,85.0,15.0,3.0
98.0,53.0,14.0,2.0
75.0,98.0,11.0,1.0
82.0,68.0,9.0,0.0
87.0,72.0,9.0,1.0
75.0,65.0,10.0,1.0
74.0,40.0,8.0,1.0
76.0,17.0,11.0,1.0
60.0,25.0,11.0,0.0
66.0,18.0,8.0,-0.0
50.0,50.0,9.0,1.0
40.0,70.0,8.0,1.0
39.0,53.0,7.0,1.0
73.0,60.0,6.0,1.0
60.0,34.0,3.0,1.0
68.0,78.0,4.0,0.0
60.0,75.0,11.0,-0.0
48.0,55.0,6.0,1.0
97.0,105.0,17.0,-0.0
134.0,152.0,10.0,1.0
143.0,63.0,11.0,1.0
114.0,69.0,15.0,2.0
93.0,120.0,12.0,1.0
139.0,95.0,16.0,1.0
120.0,74.0,15.0,3.0
80.0,88.0,11.0,2.0
79.0,75.0,10.0,0.0
88.0,58.0,9.0,1.0
76.0,77.0,10.0,1.0
77.0,42.0,8.0,0.0
75.0,15.0,10.0,2.0
52.0,24.0,11.0,0.0
67.0,33.0,8.0,0.0
63.0,22.0,8.0,-1.0
66.0,56.0,8.0,1.0
54.0,88.0,6.0,0.0
54.0,65.0,10.0,2.0
81.0,49.0,9.0,1.0
95.0,49.0,2.0,1.0
63.0,87.0,7.0,0.0
53.0,78.0,13.0,-0.0
64.0,46.0,4.0,0.0
86.0,101.0,14.0,0.0
129.0,178.0,17.0,1.0
124.0,42.0,11.0,1.0
139.0,100.0,10.0,1.0
120.0,98.0,18.0,1.0
132.0,88.0,17.0,1.0
106.0,71.0,10.0,2.0
72.0,61.0,10.0,1.0
76.0,61.0,10.0,1.0
72.0,60.0,10.0,1.0
78.0,41.0,8.0,0.0
69.0,17.0,11.0,1.0
54.0,28.0,11.0,0.0
66.0,27.0,8.0,-0.0
67.0,31.0,8.0,0.0
62.0,39.0,10.0,0.0
63.0,73.0,7.0,-0.0
50.0,73.0,7.0,1.0
